sexo;edad;medio_transporte;conducta;modalidad;conducta_especial;arma_medio;nombre_barrio;lugar;bien;categoria_bien;grupo_bien;color;Tapabocas;Capuchas;Gorras;Actitud_nerviosa;llena_vacia;dia_noche;Robo
Hombre;42;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Torcoroma;Estación del Transmilenio plus;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;44;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Bosque de Pinos;Vía pública;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;44;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Cedro Salazar;Vía pública;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;42;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;La Sonora;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;39;Transmilenio;Hurto a persona;Cosquilleo;No;No;Torca;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;39;Transmilenio;Hurto a persona;Cosquilleo;No;No;Balcones de Vista;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;50;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Buenavista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Llanurita;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;49;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Marant�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Granja Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;58;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Laureles;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;19;Transmilenio;Hurto a persona;Cosquilleo;No;No;El Redil;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;58;Transmilenio;Hurto a persona;Cosquilleo;No;No;Santandersito;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;Antonio Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;San Crist�bal Norte;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santa M�nica;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;60;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Villas del Mediterr�neo;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;36;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Floresta de La Sabana�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Altos de Serrezuela;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;28;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Frontera;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;si;si;si;llena;dia;si
Mujer;32;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Consuelos;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;32;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Matur�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;29;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;29;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;33;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;San Juan Bosco;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Laureles;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Cita;Estación del Transmilenio;Accesorios prendas de vestir;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;San Crist�bal Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;si;si;si;llena;dia;si
Hombre;29;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Tober�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;No;No;Estrella del Norte;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Villas del Mediterr�neo;Vía pública;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Bosque de Pinos;Vía pública;Cédula;Documentos;Mercancía;Amarillo;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Cedro Salazar;Vía pública;Tarjeta de comunicación;Otros elementos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Vía pública;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;Balcones de Vista;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;Buenavista;Estación del Transmilenio;Tarjeta bancaria;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;El Codito;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;El Refugio de San Antonio;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Verbenal;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;34;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Estrellita;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Frontera;Estación del Transmilenio;Libreta militar;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Llanurita;Estación del Transmilenio;Licencia;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Consuelos;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;33;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;San Antonio Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;20;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Granja Norte;Transmilenio Plus;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Naranjos;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;30;Transmilenio;Hurto a persona;Cosquilleo;No;No;San Juan Bosco;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;30;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Laureles;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;30;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santandersito;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;38;Transmilenio;Hurto a persona;Cosquilleo;No;No;Torcoroma;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;25;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santa M�nica;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;23;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Cedro Salazar;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Codito;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Refugio de San Antonio;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Granja Norte;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Babilonia;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa M�nica;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;58;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Bosque de Pinos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;24;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;La Sonora;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;45;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Consuelos;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;45;Transmilenio;Hurto a persona;Cosquilleo;No;No;Marant�;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;22;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;San Antonio Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;47;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Laureles;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;54;Transmilenio;Hurto a persona;Cosquilleo;No;No;San Crist�bal Norte;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;36;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Torcoroma;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;54;Transmilenio;Hurto a persona;Cosquilleo;No;No;Babilonia;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;24;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santa M�nica;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;30;Transmilenio;Hurto a persona;Cosquilleo;No;No;Villa Magdala;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;40;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Cedros;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;16;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Torca;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Refugio de San Antonio;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;50;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Matur�n;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;La Granja Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;San Juan Bosco;Estación del Transmilenio plus;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;40;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Laureles;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Redil;Estación del Transmilenio plus;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;19;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Cita;Vía pública;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;26;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santandersito;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;53;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;Objeto contundente;Torcoroma;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;25;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Babilonia;Estación del Transmilenio;Celular;Tecnología;Mercancía;Gris;si;si;si;si;llena;dia;si
Hombre;38;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Santa M�nica;Vía pública;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Villa Magdala;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;si;si;si;llena;dia;si
Mujer;54;Transmilenio;Hurto a persona;Cosquilleo;No;No;Balmoral�;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;40;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Buenavista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;54;Transmilenio;Hurto a persona;Cosquilleo;No;No;El Codito;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;56;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;La Llanurita;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;45;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Naranjos;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;22;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Cámara;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;32;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Crist�bal Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;21;Transmilenio;Hurto a persona;Cosquilleo;No;No;Torcoroma;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;52;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Babilonia;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;24;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Villa Magdala;Estación del Transmilenio;Celular;Tecnología;Mercancía;Rosado;si;si;si;si;llena;dia;si
Mujer;24;Transmilenio;Hurto a persona;Cosquilleo;No;No;Bosque de Pinos;Estación del Transmilenio;Euro;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;52;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Sonora;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;65;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Cedros;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;41;Transmilenio;Hurto a persona;Cosquilleo;No;No;Canaima;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;34;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Altos de Serrezuela;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;35;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balcones de Vista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;25;Transmilenio;Hurto a persona;Cosquilleo;No;No;La Llanurita;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;25;Transmilenio;Hurto a persona;Cosquilleo;No;No;Los Consuelos;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;48;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Marant�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;La Granja Norte;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;37;Transmilenio;Hurto a persona;Cosquilleo;No;No;San Juan Bosco;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;17;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;San Juan Bosco;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;19;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;La Floresta de La Sabana�;Estación del Transmilenio;Celular;Tecnología;Mercancía;Blanco;si;si;si;si;llena;dia;si
Hombre;28;Transmilenio;Hurto a persona;Cosquilleo;No;No;El Codito;Estación del Transmilenio;Cámara;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;54;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Los Consuelos;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;54;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Marant�;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;53;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;El Redil;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Mujer;23;Transmilenio;Hurto a persona;Atraco;De celular;Arma cortopunzante;La Cita;Estación del Transmilenio;Celular;Tecnología;Mercancía;Oro;si;si;si;si;llena;dia;si
Hombre;31;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Santandersito;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;38;Transmilenio;Hurto a persona;Cosquilleo;No;No;Torcoroma;Estación del Transmilenio;Billetera;Prendas de vestir y accesorios;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;27;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;El Tober�n;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Hombre;45;Transmilenio;Hurto a persona;Cosquilleo;No;No;Santa M�nica;Estación del Transmilenio;Peso;Dinero- joyas- piedras preciosas y título valor;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;De celular;Objeto contundente;Bosque de Pinos;Estación del Transmilenio;Cédula;Documentos;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;27;Transmilenio;Hurto a persona;Cosquilleo;De celular;Objeto contundente;La Sonora;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;42;Transmilenio;Hurto a persona;Cosquilleo;De celular;No;Los Cedros;Estación del Transmilenio;Celular;Tecnología;Mercancía;Negro;si;si;si;si;llena;dia;si
Mujer;39;Transmilenio;Hurto a persona;Atraco;Sin dato;Arma cortopunzante;Canaima;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
Hombre;18;Transmilenio;Hurto a persona;Cosquilleo;Sin dato;No;Balcones de Vista;Estación del Transmilenio;Celular;Tecnología;Mercancía;Sin dato;si;si;si;si;llena;dia;si
